SKU,SKU Type,Country Seller,Domain Name,URL,Country Monitored,Review Date,Seller ID & Contract Details,Vat,Phone Number,Email Address,Physical Address,Correct Image,Naming,SKU,Product Name,Compatible Printers,Co-operation,Avoid Customer Confusion,Grey Trade,Shopping Experience
CF540A,A-SKU Toner,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp9159/toner-hp-negro-203a,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CH561EE,A-SKU Ink,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp4578/cartucho-hp-negro-301-ch561ee,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N9K06AE,A-SKU Ink,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp7897/cartucho-hp-negro-304,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
F6U66AE,A-SKU Ink,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp7396/cartucho-hp-negro-302-f6u66ae301,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C2P04AE,A-SKU Ink,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp6930/cartucho-hp-negro-62-c2p04ae,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CN684EE,A-SKU Ink,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp4748/cartucho-hp-negro-364xl-cn684eeabe,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF244A,A-SKU Toner,Spain,www.nucleodigital.com,https://www.nucleodigital.com/producto/hp-cf244a-cartucho-de-toner-original-hp-44a/,Spain,9/24/2020,1,0,1,1,0,1,1,1,1,1,1,1,1,1
CF226A,A-SKU Toner,Spain,www.nucleodigital.com,N/A,Spain,9/24/2020,1,0,1,1,0,N/A,N/A,N/A,N/A,N/A,1,N/A,1,1
CF217A,A-SKU Toner,Spain,www.nucleodigital.com,https://www.nucleodigital.com/producto/cartucho-de-toner-hp-17a-cf217a/,Spain,9/24/2020,1,0,1,1,0,1,1,1,1,1,1,1,1,1
CF410A,A-SKU Toner,Spain,www.nucleodigital.com,N/A,Spain,9/24/2020,1,0,1,1,0,N/A,N/A,N/A,N/A,N/A,1,N/A,1,1
CF540A,A-SKU Toner,Spain,www.nucleodigital.com,N/A,Spain,9/24/2020,1,0,1,1,0,N/A,N/A,N/A,N/A,N/A,1,N/A,1,1
CH561EE,A-SKU Ink,Spain,www.nucleodigital.com,https://www.nucleodigital.com/producto/cartucho-de-tinta-negro-hp-301-ch561ee/,Spain,9/24/2020,1,0,1,1,0,1,1,1,1,1,1,1,1,1
N9K06AE,A-SKU Ink,Spain,www.nucleodigital.com,https://www.nucleodigital.com/producto/hp-304-negro-cartucho-de-tinta-original-n9k06ae/,Spain,9/24/2020,1,0,1,1,0,1,1,1,1,1,1,1,1,1
F6U66AE,A-SKU Ink,Spain,www.nucleodigital.com,https://www.nucleodigital.com/producto/hp-302-negro-cartucho-de-tinta-original-f6u66ae/,Spain,9/24/2020,1,0,1,1,0,1,1,1,1,1,1,1,1,1
